"h","doy","hod","out_T","out_RH","gal_T","gal_RH","case_T","case_RH","hvac","gal_M_fix","case_M_fix","gal_M_pkg","gal_LIM","case_LIM","gal_DP"
1478,213,13,31.85,80.42,23.97,57.21,24.25,65.87,1,0.3678,0,1.1956,74.67,74.62,14.99
1479,213,14,32.84,79.16,23.98,56.25,24.2,65.76,1,0.3672,0,1.1956,74.66,74.63,14.74
1480,213,15,33.45,75.41,23.93,55.2,24.14,65.65,1,0.3665,0,1.1956,74.67,74.64,14.4
1481,213,16,33.03,73.54,23.96,54.96,24.11,65.53,1,0.3658,0,1.1956,74.67,74.64,14.36
1482,213,17,33.88,70.19,24.68,56.42,24.22,65.43,0,0.3652,0,1.1956,74.55,74.62,15.43
1483,213,18,33.32,73.5,25.23,57.78,24.42,65.34,0,0.3645,0,1.1956,74.47,74.59,16.32
1484,213,19,32.89,73.63,25.78,58.64,24.69,65.27,0,0.3638,0,1.1956,74.41,74.55,17.06
1485,213,20,33.21,76.22,26.25,59.94,25.01,65.21,0,0.3632,0,1.1956,74.35,74.5,17.86
1486,213,21,33.56,79.89,26.7,61.41,25.34,65.16,0,0.3625,0,1.1956,74.31,74.46,18.66
1487,213,22,32.63,85.1,27.13,63.16,25.7,65.14,0,0.3618,0,1.1956,74.27,74.41,19.52
1488,213,23,31.41,91.46,27.39,65.06,26.04,65.14,0,0.3612,0,1.1956,74.25,74.38,20.25
1489,214,0,31.49,92.46,27.65,66.86,26.36,65.16,0,0.3605,0,1.1956,74.24,74.34,20.94
1490,214,1,29.45,96.74,27.84,68.98,26.66,65.2,0,0.3598,0,1.1956,74.23,74.31,21.63
1491,214,2,29.76,96,27.93,70.71,26.91,65.26,0,0.3592,0,1.1956,74.22,74.29,22.11
1492,214,3,31.44,95.09,28.14,72.55,27.16,65.34,0,0.3585,0,1.1956,74.21,74.27,22.74
1493,214,4,31.46,97.01,28.25,73.76,27.38,65.44,0,0.3578,0,1.1956,74.2,74.26,23.12
1494,214,5,30.34,95.4,28.4,74.93,27.58,65.54,0,0.3572,0,1.1956,74.2,74.24,23.52
1495,214,6,29.91,91.24,28.35,75.68,27.73,65.66,0,0.3565,0,1.1956,74.2,74.23,23.64
1496,214,7,30.78,92.26,28.39,76.64,27.87,65.78,0,0.3558,0,1.1956,74.2,74.22,23.89
1497,214,8,32.96,89.81,28.73,77.71,28.04,65.91,0,0.3552,0,1.1956,74.18,74.21,24.45
1498,214,9,33.91,87.76,26.22,70.1,27.68,65.96,1,0.3545,0,1.1956,74.36,74.24,20.34
1499,214,10,34.84,83.49,25.03,64.88,27.15,65.95,1,0.3538,0,1.1956,74.5,74.27,17.97
1500,214,11,36.12,81.66,24.38,60.79,26.59,65.89,1,0.3532,0,1.1956,74.6,74.32,16.32
1501,214,12,37.87,82.81,24.11,58.83,26.1,65.81,1,0.3525,0,1.1956,74.64,74.37,15.55
1502,214,13,38.1,78.67,24.01,57.28,25.68,65.72,1,0.3518,0,1.1956,74.66,74.42,15.05
1503,214,14,39.39,73.03,23.99,56.23,25.34,65.61,1,0.3511,0,1.1956,74.66,74.46,14.74
1504,214,15,39.61,71.09,24.08,55.57,25.09,65.5,1,0.3505,0,1.1956,74.65,74.49,14.64
1505,214,16,40.12,70.27,24.06,56.08,24.88,65.39,1,0.3498,0,1.1956,74.65,74.52,14.76
1506,214,17,40.2,72.21,25.23,57.32,24.95,65.3,0,0.3491,0,1.1956,74.47,74.51,16.19
1507,214,18,39.06,72.24,26.24,58.76,25.21,65.23,0,0.3485,0,1.1956,74.35,74.48,17.53
1508,214,19,37.94,75.13,27.11,59.77,25.59,65.17,0,0.3478,0,1.1956,74.28,74.43,18.62
1509,214,20,36.64,78.18,27.75,61.11,26.02,65.13,0,0.3471,0,1.1956,74.23,74.38,19.58
1510,214,21,34.3,81.82,28.19,62.81,26.46,65.1,0,0.3465,0,1.1956,74.21,74.33,20.44
1511,214,22,33.31,83.58,28.52,63.91,26.87,65.09,0,0.3458,0,1.1956,74.19,74.3,21.03
1512,214,23,31.72,85.35,28.66,65.24,27.23,65.09,0,0.3451,0,1.1956,74.19,74.27,21.5
1513,215,0,31.8,91.38,28.83,66.81,27.55,65.11,0,0.3445,0,1.1956,74.18,74.24,22.05
1514,215,1,30.24,92.19,28.91,69.2,27.82,65.15,0,0.3438,0,1.1956,74.18,74.23,22.7
1515,215,2,28.69,92.65,28.84,70.38,28.03,65.21,0,0.3431,0,1.1956,74.18,74.22,22.91
1516,215,3,28.97,95.08,28.76,73.06,28.17,65.3,0,0.3425,0,1.1956,74.18,74.21,23.45
1517,215,4,29.66,94.65,28.72,74.71,28.28,65.4,0,0.3418,0,1.1956,74.18,74.2,23.79
1518,215,5,29.96,91.8,28.7,75.75,28.37,65.52,0,0.3411,0,1.1956,74.19,74.2,23.99
1519,215,6,30.42,87.36,28.77,76.49,28.45,65.64,0,0.3405,0,1.1956,74.18,74.2,24.23
1520,215,7,30.11,82.73,28.81,77.43,28.52,65.77,0,0.3398,0,1.1956,74.18,74.19,24.47
1521,215,8,30.5,80.42,28.92,78.04,28.6,65.91,0,0.3391,0,1.1956,74.18,74.19,24.71
1522,215,9,31.75,75.37,29.08,78.01,28.7,66.04,0,0.3385,0,1.1956,74.17,74.19,24.86
1523,215,10,32.06,72.42,29.16,77.55,28.79,66.17,0,0.3378,0,1.1956,74.17,74.18,24.83
1524,215,11,33.08,70.26,29.32,76.89,28.89,66.29,0,0.3371,0,1.1956,74.17,74.18,24.84
1525,215,12,34.13,72.79,29.64,76.8,29.04,66.41,0,0.3365,0,1.1956,74.16,74.18,25.13
1526,215,13,34.49,73.89,29.96,76.96,29.23,66.52,0,0.3358,0,1.1956,74.16,74.17,25.48
1527,215,14,33.64,72.59,30.15,77.38,29.41,66.64,0,0.3351,0,1.1956,74.16,74.17,25.75
1528,215,15,32.72,68.62,30.33,77.17,29.59,66.76,0,0.3345,0,1.1956,74.16,74.17,25.88
1529,215,16,29.26,76.57,30.19,77.15,29.71,66.88,0,0.3338,0,1.1956,74.16,74.16,25.74
1530,215,17,30.43,67.03,30.15,76.73,29.8,66.99,0,0.3331,0,1.1956,74.16,74.16,25.61
1531,215,18,29.52,67.6,30.04,76.62,29.85,67.09,0,0.3325,0,1.1956,74.16,74.16,25.48
1532,215,19,29.58,70.63,29.94,76.59,29.87,67.2,0,0.3318,0,1.1956,74.16,74.16,25.38
1533,215,20,28.65,75.13,29.75,76.73,29.84,67.3,0,0.3311,0,1.1956,74.16,74.16,25.23
1534,215,21,28.83,82.23,29.68,76.98,29.81,67.41,0,0.3305,0,1.1956,74.16,74.16,25.21
1535,215,22,28.86,86.42,29.54,77.72,29.76,67.53,0,0.3298,0,1.1956,74.17,74.16,25.23
1536,215,23,28.88,91.18,29.37,78.41,29.68,67.65,0,0.3291,0,1.1956,74.17,74.16,25.22
1537,216,0,27.64,99,29.13,79.34,29.57,67.78,0,0.3285,0,1.1956,74.17,74.17,25.18
1538,216,1,27.87,92.5,28.99,80.15,29.45,67.91,0,0.3288,0,1.1956,74.18,74.17,25.22
1539,216,2,26.94,95.57,28.83,81.08,29.33,68.06,0,0.3338,0,1.1956,74.18,74.17,25.26
1540,216,3,27.75,95.21,28.58,82.43,29.18,68.22,0,0.3439,0,1.1956,74.19,74.17,25.3
1541,216,4,24.81,99,28.18,82.81,28.98,68.38,0,0.3552,0,1.1956,74.21,74.18,24.98
1542,216,5,27.49,88.17,27.96,83.58,28.78,68.55,0,0.3688,0,1.2003,74.22,74.18,24.92
1543,216,6,26.54,85.19,27.75,84.29,28.57,68.73,0,0.3848,0,1.2101,74.23,74.19,24.86
1544,216,7,28.08,84.65,27.73,84.61,28.4,68.9,0,0.4017,0,1.2217,74.23,74.2,24.9
1545,216,8,29.8,82.4,27.79,84.45,28.28,69.08,0,0.4181,0,1.2322,74.23,74.2,24.93
1546,216,9,30.63,80.12,25.69,73.79,27.76,69.13,1,0.4168,0,1.2322,74.42,74.23,20.66
1547,216,10,31.28,74.67,24.7,67.13,27.15,69.11,1,0.4155,0,1.2322,74.55,74.27,18.19
1548,216,11,30.76,74.7,24.36,63.21,26.59,69.04,1,0.4142,0,1.2322,74.6,74.32,16.92
1549,216,12,30.88,67.53,24.19,60.55,26.11,68.95,1,0.4128,0,1.2322,74.63,74.37,16.08
1550,216,13,31.35,65.69,24.19,58.28,25.73,68.83,1,0.4115,0,1.2322,74.63,74.41,15.48
1551,216,14,32.16,66.43,24.04,57.19,25.39,68.7,1,0.4102,0,1.2322,74.65,74.45,15.05
1552,216,15,32.79,68.55,24.04,56.49,25.12,68.56,1,0.4102,0,1.2322,74.65,74.49,14.86
1553,216,16,32.57,71.55,24,55.7,24.9,68.42,1,0.4102,0,1.2322,74.66,74.52,14.6
1554,216,17,32.29,72.28,24.56,56.44,24.83,68.29,0,0.4102,0,1.2322,74.57,74.53,15.33
1555,216,18,31.57,74.93,25,57.44,24.86,68.17,0,0.4102,0,1.2322,74.51,74.52,16.01
1556,216,19,31.53,74.77,25.36,58.56,24.96,68.06,0,0.4102,0,1.2322,74.46,74.51,16.65
1557,216,20,30.07,77.46,25.61,59.78,25.09,67.97,0,0.4102,0,1.2322,74.43,74.49,17.21
1558,216,21,28.73,82.34,25.79,61.04,25.23,67.89,0,0.4102,0,1.2322,74.4,74.47,17.71
1559,216,22,29.23,83.35,25.89,62.45,25.36,67.83,0,0.4102,0,1.2322,74.39,74.46,18.17
1560,216,23,29.94,86.94,26.11,63.61,25.51,67.78,0,0.4102,0,1.2322,74.37,74.44,18.67
1561,217,0,28.51,89.01,26.16,65.82,25.64,67.76,0,0.4102,0,1.2322,74.36,74.42,19.26
1562,217,1,29.66,87.49,26.38,67.57,25.79,67.76,0,0.4102,0,1.2322,74.34,74.4,19.89
1563,217,2,29.01,87.12,26.53,68.99,25.94,67.77,0,0.4102,0,1.2322,74.33,74.39,20.38
1564,217,3,28.42,92.37,26.6,70.51,26.07,67.8,0,0.4102,0,1.2322,74.32,74.37,20.8
1565,217,4,28.72,92.76,26.77,72.05,26.21,67.85,0,0.4102,0,1.2322,74.3,74.36,21.31
1566,217,5,29.87,97.31,26.92,74.06,26.35,67.92,0,0.4102,0,1.2322,74.29,74.34,21.9
1567,217,6,29.89,92.39,26.99,75.43,26.48,68,0,0.4102,0,1.2322,74.29,74.33,22.27
1568,217,7,30.48,87.18,27.2,76.49,26.62,68.1,0,0.4102,0,1.2322,74.27,74.32,22.71
1569,217,8,30.88,83.03,27.32,77.29,26.76,68.2,0,0.4102,0,1.2322,74.26,74.3,23
1570,217,9,30.47,76.69,25.52,69.99,26.52,68.22,1,0.4095,0,1.2322,74.44,74.33,19.65
1571,217,10,31.34,74.93,24.64,65,26.14,68.18,1,0.4088,0,1.2322,74.56,74.36,17.62
1572,217,11,31.4,69.63,24.28,60.9,25.77,68.1,1,0.4082,0,1.2322,74.61,74.41,16.26
1573,217,12,31.2,68.24,24.1,58.84,25.43,68,1,0.4075,0,1.2322,74.64,74.45,15.54
1574,217,13,31.76,67.75,24.01,57.52,25.15,67.88,1,0.4068,0,1.2322,74.66,74.48,15.11
1575,217,14,31.78,70.54,23.96,56.98,24.91,67.76,1,0.4062,0,1.2322,74.67,74.52,14.92
1576,217,15,30.87,67.11,24.02,55.89,24.73,67.63,1,0.4055,0,1.2322,74.66,74.54,14.67
1577,217,16,31.07,71.12,24.05,55.62,24.6,67.5,1,0.4048,0,1.2322,74.65,74.56,14.63
1578,217,17,30.1,69.34,24.44,56.84,24.57,67.38,0,0.4042,0,1.2322,74.59,74.57,15.33
1579,217,18,28.85,72.65,24.64,58.3,24.58,67.28,0,0.4035,0,1.2322,74.56,74.57,15.91
1580,217,19,28.79,72.63,24.87,59.51,24.64,67.19,0,0.4028,0,1.2322,74.52,74.56,16.45
1581,217,20,26.98,70.49,24.93,60.17,24.7,67.11,0,0.4022,0,1.2322,74.51,74.55,16.68
1582,217,21,25.79,72.79,24.87,61.59,24.73,67.05,0,0.4015,0,1.2322,74.52,74.54,16.99
1583,217,22,26.52,75.05,24.93,62.67,24.77,67,0,0.4008,0,1.2322,74.51,74.54,17.32
1584,217,23,26.53,80.68,25.01,63.7,24.82,66.97,0,0.4002,0,1.2322,74.5,74.53,17.66
1585,218,0,25.42,82.11,24.88,65.16,24.83,66.95,0,0.3995,0,1.2322,74.52,74.53,17.89
1586,218,1,24.55,85.71,24.79,66.43,24.82,66.94,0,0.3988,0,1.2322,74.54,74.53,18.11
1587,218,2,23.91,83.79,24.63,66.42,24.78,66.93,0,0.3982,0,1.2322,74.56,74.54,17.96
1588,218,3,25.27,86.76,24.58,67.42,24.74,66.94,0,0.3975,0,1.2322,74.57,74.54,18.15
1589,218,4,25.92,86.29,24.6,68.6,24.71,66.96,0,0.3968,0,1.2322,74.56,74.55,18.44
1590,218,5,26.83,84.66,24.68,69.82,24.71,66.99,0,0.3962,0,1.2322,74.55,74.55,18.8
1591,218,6,27.64,81.37,24.85,70.65,24.74,67.03,0,0.3955,0,1.2322,74.53,74.54,19.15
1592,218,7,29.17,83.7,25.06,71.84,24.8,67.08,0,0.3948,0,1.2322,74.5,74.53,19.63
1593,218,8,29.32,83.82,25.28,72.81,24.9,67.15,0,0.3942,0,1.2322,74.47,74.52,20.05
1594,218,9,29.61,80.32,24.55,66.64,24.83,67.14,1,0.3935,0,1.2322,74.57,74.53,17.93
1595,218,10,30.78,78.56,24.17,62.27,24.7,67.09,1,0.3928,0,1.2322,74.63,74.55,16.5
1596,218,11,32.11,77.15,24.07,59.55,24.57,67,1,0.3922,0,1.2322,74.65,74.57,15.71
1597,218,12,32.64,74.52,23.95,58.32,24.45,66.91,1,0.3915,0,1.2322,74.67,74.59,15.27
1598,218,13,32.91,72.1,23.92,57.27,24.34,66.8,1,0.3908,0,1.2322,74.67,74.6,14.96
1599,218,14,33.39,68.52,23.98,56.81,24.27,66.69,1,0.3902,0,1.2322,74.66,74.61,14.89
1600,218,15,33.27,68.77,24.04,56.42,24.22,66.58,1,0.3895,0,1.2322,74.65,74.62,14.84
1601,218,16,33.46,69.28,24.05,55.64,24.19,66.45,1,0.3888,0,1.2322,74.65,74.63,14.63
1602,218,17,31.75,70.41,24.51,56.23,24.25,66.34,0,0.3882,0,1.2322,74.58,74.62,15.22
1603,218,18,31.62,72.3,24.99,57.58,24.4,66.24,0,0.3875,0,1.2322,74.51,74.59,16.04
1604,218,19,30.51,73.26,25.31,58.52,24.58,66.16,0,0.3868,0,1.2322,74.46,74.57,16.59
1605,218,20,29.63,76.26,25.57,59.29,24.78,66.08,0,0.3862,0,1.2322,74.43,74.54,17.05
1606,218,21,28.64,78.84,25.74,60.8,24.97,66.02,0,0.3855,0,1.2322,74.41,74.51,17.6
1607,218,22,26.88,82.26,25.76,61.81,25.13,65.98,0,0.3848,0,1.2322,74.41,74.49,17.88
1608,218,23,26.33,85.01,25.81,63.06,25.27,65.94,0,0.3842,0,1.2322,74.4,74.47,18.25
1609,219,0,24.62,87.3,25.54,64.81,25.32,65.93,0,0.3835,0,1.2322,74.43,74.46,18.43
1610,219,1,24.54,86.33,25.33,66.84,25.32,65.94,0,0.3828,0,1.2322,74.46,74.46,18.72
1611,219,2,25.12,86.87,25.2,67.86,25.3,65.96,0,0.3822,0,1.2322,74.48,74.46,18.84
1612,219,3,23.29,87.88,24.87,69.2,25.21,66,0,0.3815,0,1.2322,74.52,74.48,18.84
1613,219,4,23.89,88.61,24.74,70.14,25.12,66.04,0,0.3808,0,1.2322,74.54,74.49,18.93
1614,219,5,24.33,87.11,24.56,70.75,25.01,66.1,0,0.3801,0,1.2322,74.57,74.5,18.9
1615,219,6,24.36,85.92,24.45,71.47,24.9,66.16,0,0.3795,0,1.2322,74.59,74.52,18.95
1616,219,7,26.05,84.97,24.46,72.26,24.81,66.22,0,0.3788,0,1.2322,74.58,74.53,19.14
1617,219,8,26.82,77.43,24.61,72.52,24.77,66.29,0,0.3781,0,1.2322,74.56,74.54,19.35
1618,219,9,27.81,77.14,24.3,66.33,24.67,66.29,1,0.3775,0,1.2322,74.61,74.55,17.62
1619,219,10,29.97,75.97,24.16,62.24,24.57,66.25,1,0.3768,0,1.2322,74.63,74.57,16.48
1620,219,11,30.56,71.79,24.03,60.26,24.46,66.18,1,0.3761,0,1.2322,74.65,74.58,15.85
1621,219,12,32.02,72.36,24,58.23,24.37,66.09,1,0.3755,0,1.2322,74.66,74.6,15.29
1622,219,13,32.79,68.2,24.05,56.69,24.31,65.99,1,0.3748,0,1.2322,74.65,74.61,14.93
1623,219,14,34.1,69.3,24.04,55.85,24.25,65.88,1,0.3741,0,1.2322,74.65,74.62,14.68
1624,219,15,35.54,68.67,23.89,55.56,24.18,65.76,1,0.3735,0,1.2322,74.68,74.63,14.45
1625,219,16,35.07,67.8,23.94,55.31,24.13,65.65,1,0.3728,0,1.2322,74.67,74.64,14.43
1626,219,17,34.26,68.86,24.65,56.16,24.23,65.54,0,0.3721,0,1.2322,74.56,74.62,15.33
1627,219,18,34.12,69.84,25.29,56.92,24.44,65.45,0,0.3715,0,1.2322,74.47,74.59,16.14
1628,219,19,32.34,72.28,25.72,57.59,24.7,65.36,0,0.3708,0,1.2322,74.41,74.55,16.72
1629,219,20,31.93,72.15,26.04,58.97,24.97,65.29,0,0.3701,0,1.2322,74.38,74.51,17.4
1630,219,21,30.54,74.6,26.35,60.66,25.24,65.24,0,0.3695,0,1.2322,74.34,74.47,18.14
1631,219,22,30.99,78.55,26.68,61.7,25.53,65.2,0,0.3688,0,1.2322,74.31,74.43,18.72
1632,219,23,29.57,80.2,26.75,62.87,25.77,65.17,0,0.3681,0,1.2322,74.31,74.41,19.09
1633,220,0,28.72,83.55,26.85,64.27,25.99,65.16,0,0.3675,0,1.2322,74.3,74.38,19.54
1634,220,1,28.51,88.36,26.92,65.65,26.18,65.17,0,0.3668,0,1.2322,74.29,74.36,19.95
1635,220,2,27.24,89.45,26.96,67.25,26.33,65.19,0,0.3661,0,1.2322,74.29,74.35,20.37
1636,220,3,27.1,89.55,26.81,68.48,26.43,65.23,0,0.3655,0,1.2322,74.3,74.34,20.52
1637,220,4,27.04,89.71,26.81,69.57,26.5,65.27,0,0.3648,0,1.2322,74.3,74.33,20.78
1638,220,5,27.59,86.19,26.73,70.49,26.55,65.33,0,0.3641,0,1.2322,74.31,74.32,20.91
1639,220,6,28.42,84.21,26.75,71.62,26.59,65.4,0,0.3635,0,1.2322,74.31,74.32,21.2
1640,220,7,30.09,82.94,26.92,72.8,26.66,65.48,0,0.3628,0,1.2322,74.29,74.31,21.63
1641,220,8,31.63,80.14,27.25,73.03,26.77,65.57,0,0.3621,0,1.2322,74.26,74.3,21.99
1642,220,9,32.29,78.05,25.5,66.63,26.52,65.58,1,0.3615,0,1.2322,74.44,74.33,18.83
1643,220,10,31.46,75.45,24.6,62.67,26.13,65.55,1,0.3608,0,1.2322,74.56,74.37,17.01
1644,220,11,31.31,70.38,24.22,60.17,25.75,65.49,1,0.3601,0,1.2322,74.62,74.41,16.01
1645,220,12,31.28,68.06,24.13,58.15,25.43,65.41,1,0.3595,0,1.2322,74.64,74.45,15.39
1646,220,13,32.71,65.57,24.06,56.89,25.15,65.31,1,0.3588,0,1.2322,74.65,74.48,14.98
1647,220,14,32.54,64.29,24.05,56.42,24.93,65.21,1,0.3581,0,1.2322,74.65,74.51,14.85
1648,220,15,30.38,77.2,24.04,55.6,24.75,65.11,1,0.3575,0,1.2322,74.65,74.54,14.61
1649,220,16,31.63,69.46,24.02,55.43,24.61,65,1,0.3568,0,1.2322,74.66,74.56,14.55
1650,220,17,30.57,70.54,24.41,56.8,24.57,64.91,0,0.3561,0,1.2322,74.59,74.57,15.29
1651,220,18,30.28,72.05,24.75,58.15,24.61,64.83,0,0.3555,0,1.2322,74.54,74.56,15.98
1652,220,19,29.38,75.37,25.04,59.08,24.69,64.77,0,0.3548,0,1.2322,74.5,74.55,16.5
1653,220,20,27.81,77.55,25.09,60.05,24.77,64.72,0,0.3541,0,1.2322,74.49,74.54,16.79
1654,220,21,27.16,78.23,25.2,61.04,24.86,64.67,0,0.3535,0,1.2322,74.48,74.52,17.16
1655,220,22,26.95,83.1,25.3,62.04,24.95,64.65,0,0.3528,0,1.2322,74.46,74.51,17.5
1656,220,23,25.8,84.97,25.26,62.78,25.01,64.62,0,0.3521,0,1.2322,74.47,74.5,17.66
1657,221,0,25.02,87.34,25.11,64.32,25.03,64.62,0,0.3515,0,1.2322,74.49,74.5,17.9
1658,221,1,22.74,88.5,24.76,66.26,24.98,64.64,0,0.3508,0,1.2322,74.54,74.51,18.04
1659,221,2,25.28,92.65,24.69,68.03,24.92,64.68,0,0.3501,0,1.2322,74.55,74.52,18.4
1660,221,3,24.83,95.69,24.62,69.8,24.86,64.73,0,0.3495,0,1.2322,74.56,74.52,18.74
1661,221,4,25.84,96.95,24.6,70.97,24.81,64.8,0,0.3488,0,1.2322,74.56,74.53,18.99
1662,221,5,26.35,95.83,24.64,72.56,24.77,64.89,0,0.3481,0,1.2322,74.56,74.54,19.38
1663,221,6,25.79,90.58,24.6,73.62,24.74,64.99,0,0.3475,0,1.2322,74.56,74.54,19.57
1664,221,7,25.88,86.01,24.71,74.17,24.73,65.09,0,0.3468,0,1.2322,74.55,74.54,19.8
1665,221,8,27.43,85.34,24.84,75.56,24.75,65.21,0,0.3461,0,1.2322,74.53,74.54,20.23
1666,221,9,28.45,82.77,24.49,68.31,24.7,65.24,1,0.3455,0,1.2322,74.58,74.55,18.27
1667,221,10,30.31,80.53,24.22,63.62,24.61,65.22,1,0.3448,0,1.2322,74.62,74.56,16.88
1668,221,11,29.65,87.19,24.08,61.29,24.5,65.18,1,0.3441,0,1.2322,74.65,74.58,16.17
1669,221,12,31.28,77.33,24.06,58.73,24.41,65.11,1,0.3435,0,1.2322,74.65,74.59,15.48
1670,221,13,32.56,76.08,23.95,57.44,24.32,65.02,1,0.3428,0,1.2322,74.67,74.61,15.03
1671,221,14,32.73,75.15,24.01,56.85,24.26,64.93,1,0.3421,0,1.2322,74.66,74.62,14.92
1672,221,15,32.12,76.73,23.99,56.65,24.2,64.84,1,0.3415,0,1.2322,74.66,74.63,14.85
1673,221,16,31.56,75.67,24.03,56.06,24.17,64.74,1,0.3408,0,1.2322,74.65,74.63,14.73
1674,221,17,30.74,78.37,24.46,57.01,24.23,64.65,0,0.3401,0,1.2322,74.58,74.62,15.39
1675,221,18,28.57,76.52,24.64,58.14,24.31,64.58,0,0.3395,0,1.2322,74.56,74.61,15.87
1676,221,19,28.09,79.08,24.86,59.38,24.42,64.52,0,0.3388,0,1.2322,74.53,74.59,16.4
1677,221,20,26.77,77.5,24.81,61.17,24.5,64.49,0,0.3381,0,1.2322,74.53,74.58,16.82
1678,221,21,27.06,78.38,24.93,62.09,24.58,64.46,0,0.3375,0,1.2322,74.51,74.57,17.18
1679,221,22,26.88,80.89,25.1,62.79,24.69,64.44,0,0.3368,0,1.2322,74.49,74.55,17.51
1680,221,23,25.72,87.43,25.05,64.17,24.76,64.44,0,0.3361,0,1.2322,74.5,74.54,17.81
1681,222,0,25.5,90.58,25,65.7,24.81,64.45,0,0.3355,0,1.2322,74.5,74.53,18.14
1682,222,1,26.37,88.43,25.01,66.99,24.85,64.48,0,0.3348,0,1.2322,74.5,74.53,18.45
1683,222,2,26.62,89.41,25.05,68.13,24.89,64.52,0,0.3341,0,1.2322,74.5,74.52,18.77
1684,222,3,26.98,91.56,25.06,69.89,24.92,64.58,0,0.3335,0,1.2322,74.5,74.52,19.18
1685,222,4,27.54,87.85,25.15,70.94,24.97,64.65,0,0.3328,0,1.2322,74.48,74.51,19.5
1686,222,5,27.33,90.68,25.19,72.3,25.01,64.74,0,0.3321,0,1.2322,74.48,74.5,19.85
1687,222,6,28.91,92.15,25.38,73.47,25.09,64.83,0,0.3315,0,1.2322,74.45,74.49,20.29
1688,222,7,29.31,88.82,25.65,74.47,25.2,64.94,0,0.3308,0,1.2322,74.42,74.48,20.77
1689,222,8,29.82,85.17,25.83,74.81,25.33,65.05,0,0.3301,0,1.2322,74.4,74.46,21.02
1690,222,9,31.02,92.21,26.05,75.92,25.47,65.17,0,0.3295,0,1.2322,74.38,74.44,21.47
1691,222,10,33.88,81.12,26.66,76.35,25.71,65.3,0,0.3288,0,1.2322,74.31,74.41,22.15
1692,222,11,34.96,79.15,27.28,76.81,26.02,65.42,0,0.3281,0,1.2322,74.26,74.38,22.85
1693,222,12,35.21,74.32,27.88,76.7,26.39,65.55,0,0.3275,0,1.2322,74.22,74.34,23.41
1694,222,13,35.37,72.1,28.34,77.18,26.78,65.68,0,0.3268,0,1.2322,74.2,74.3,23.96
1695,222,14,34.59,80.3,28.82,77.19,27.19,65.81,0,0.3261,0,1.2322,74.18,74.27,24.43
1696,222,15,34.82,79.13,29.21,77.58,27.59,65.94,0,0.3255,0,1.2322,74.17,74.24,24.88
1697,222,16,35.55,70.15,29.7,77.11,28.02,66.06,0,0.3248,0,1.2322,74.16,74.22,25.26
1698,222,17,35.88,75.09,30.1,76.95,28.43,66.18,0,0.3241,0,1.2322,74.16,74.2,25.61
1699,222,18,34.32,78.78,30.42,77.34,28.83,66.31,0,0.3235,0,1.2322,74.17,74.18,26.01
1700,222,19,30.78,90.31,30.42,78.09,29.15,66.44,0,0.3228,0,1.2322,74.17,74.17,26.17
1701,222,20,31.97,83.98,30.34,78.44,29.39,66.57,0,0.3221,0,1.2322,74.16,74.17,26.17
1702,222,21,30.5,88.01,30.32,79.55,29.57,66.71,0,0.3215,0,1.2322,74.16,74.17,26.39
1703,222,22,30.22,89.38,30.22,80.2,29.7,66.86,0,0.3222,0,1.2322,74.16,74.16,26.43
1704,222,23,29.58,90.95,30.09,80.75,29.78,67.02,0,0.3259,0,1.2322,74.16,74.16,26.42
1705,223,0,28.34,93.48,29.9,81.56,29.8,67.18,0,0.3331,0,1.2322,74.16,74.16,26.4
1706,223,1,28.43,98,29.67,82.55,29.78,67.35,0,0.3439,0,1.2322,74.16,74.16,26.38
1707,223,2,27.73,97.41,29.36,83.08,29.69,67.53,0,0.3564,0,1.2322,74.17,74.16,26.19
1708,223,3,27.64,98,29.18,84.47,29.59,67.71,0,0.3735,0,1.2428,74.17,74.17,26.29
1709,223,4,27.3,96.59,28.91,85.19,29.46,67.91,0,0.3931,0,1.2577,74.18,74.17,26.18
1710,223,5,28.87,91.37,28.75,85.91,29.31,68.11,0,0.4153,0,1.2759,74.18,74.17,26.15
1711,223,6,30.57,85.48,28.77,86.16,29.2,68.31,0,0.4385,0,1.2952,74.18,74.17,26.22
1712,223,7,30.38,83.78,28.81,86.36,29.13,68.51,0,0.4626,0,1.3152,74.18,74.17,26.31
1713,223,8,32.01,81.45,28.98,85.87,29.1,68.7,0,0.4846,0,1.3328,74.18,74.17,26.37
1714,223,9,33.93,76.09,29.23,85.74,29.12,68.89,0,0.5062,0,1.3495,74.17,74.17,26.59
1715,223,10,32.22,71.6,29.39,85.13,29.18,69.07,0,0.5255,0,1.3624,74.17,74.17,26.63
1716,223,11,33.21,69.64,29.62,84.47,29.27,69.24,0,0.5423,0,1.3703,74.16,74.17,26.72
1717,223,12,32.48,70.24,29.72,83.45,29.36,69.4,0,0.5552,0,1.3703,74.16,74.17,26.62
1718,223,13,33.03,71.59,29.95,82.7,29.47,69.55,0,0.565,0,1.3703,74.16,74.17,26.68
1719,223,14,33.34,72.82,30.07,81.8,29.59,69.68,0,0.5704,0,1.3703,74.16,74.17,26.62
1720,223,15,32.82,71.66,30.22,81.66,29.72,69.82,0,0.575,0,1.3703,74.16,74.16,26.73
1721,223,16,33.3,74.35,30.38,81.32,29.85,69.95,0,0.5776,0,1.3703,74.16,74.16,26.82
